Timestamp,"Rate traditional locks and methods, such as key-based padlocks and doorknobs, and one-by-one calling attendance, in terms of security","Rate traditional locks and methods, such as key-based padlocks and doorknobs, and one-by-one calling attendance, in terms of convenience","Rate traditional locks and methods, such as key-based padlocks and doorknobs, and one-by-one calling attendance, in terms of likeness","Compared to traditional locks and methods, rate RFID and AI, in terms of security","Compared to traditional locks and methods, rate RFID and AI, in terms of convenience","Compared to traditional locks and methods, rate RFID and AI, in terms of likeness","Does using RFID and AI, makes you feel ","Does using RFID and AI, makes it"
5/19/2022 21:39:16,6,7,8,7,7,10,5,10
5/19/2022 21:40:38,8,7,7,9,8,9,10,10
5/19/2022 21:42:21,5,7,8,8,9,7,10,10
5/19/2022 21:42:24,6,8,8,7,9,10,10,10
5/19/2022 21:44:00,7,6,5,9,9,9,10,10
5/19/2022 21:45:09,5,4,6,9,10,9,10,10
5/19/2022 21:48:15,5,8,7,7,6,9,0,0
5/19/2022 21:49:43,6,5,6,10,8,9,10,10
5/19/2022 21:57:28,8,9,7,6,5,6,10,10
5/19/2022 21:59:55,7,9,5,9,10,10,10,10
5/19/2022 22:54:46,7,8,7,9,9,9,10,10
5/20/2022 18:56:31,6,9,8,8,7,7,10,10
5/20/2022 18:59:36,3,5,4,8,8,8,10,10
5/20/2022 19:40:48,9,8,10,4,10,8,0,10
5/20/2022 22:39:38,7,8,7,9,8,8,10,10
5/21/2022 8:45:24,10,8,10,7,10,8,0,10
